c_custkey	c_name	revenue	c_acctbal	n_name	c_address	c_phone	c_comment
103	Customer#000000103	97311.7724	2757.45	INDONESIA	8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a	19-216-107-2107	furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl
136	Customer#000000136	95855.3980	-842.39	GERMANY	QoLsJ0v5C1IQbh,DS1	17-501-210-4726	ackages sleep ironic, final courts. even requests above the blithely bold requests g
53	Customer#000000053	92568.9124	4113.64	MOROCCO	HnaxHzTfFTZs8MuCpJyTbZ47Cm4wFOOgib	25-168-852-5363	ar accounts are. even foxes are blithely. fluffily pending deposits boost
49	Customer#000000049	90965.7262	4573.94	IRAN	cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl	20-908-631-4424	nusual foxes! fluffily pending packages maintain to the regular 
37	Customer#000000037	88065.7458	-917.75	INDIA	7EV4Pwh,3SboctTWt	18-385-235-7162	ilent packages are carefully among the deposits. furiousl
82	Customer#000000082	86998.9644	9468.34	CHINA	zhG3EZbap4c992Gj3bK,3Ne,Xn	28-159-442-5305	s wake. bravely regular accounts are furiously. regula
125	Customer#000000125	84808.0680	-234.12	ROMANIA	,wSZXdVR xxIIfm9s8ITyLl3kgjT6UC07GY0Y	29-261-996-3120	x-ray finally after the packages? regular requests c
59	Customer#000000059	84655.5711	3458.60	ARGENTINA	zLOCP0wh92OtBihgspOGl4	11-355-584-3112	ously final packages haggle blithely after the express deposits. furiou
43	Customer#000000043	75485.9587	9904.28	ROMANIA	ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd	29-316-665-2897	ial requests: carefully pending foxes detect quickly. carefully final courts cajole quickly. carefully
76	Customer#000000076	71918.9060	5745.33	ALGERIA	m3sbCvjMOHyaOofH,e UkGPtqc4	10-349-718-3044	pecial deposits. ironic ideas boost blithely according to the closely ironic theodolites! furiously final deposits n
148	Customer#000000148	63188.9320	2135.60	IRAQ	BhSPlEWGvIJyT9swk vCWE	21-562-498-6636	ing to the carefully ironic requests. carefully regular dependencies about the theodolites wake furious
65	Customer#000000065	60379.7679	8795.16	UNITED KINGDOM	RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X	33-733-623-5267	y final foxes serve carefully. theodolites are carefully. pending i
29	Customer#000000029	56516.4750	7618.27	ALGERIA	sJ5adtfyAkCK63df2,vF25zyQMVYE34uh	10-773-203-7342	its after the carefully final platelets x-ray against 
139	Customer#000000139	46680.1290	7897.78	INDONESIA	3ElvBwudHKL02732YexGVFVt 	19-140-352-1403	nstructions. quickly ironic ideas are carefully. bold, 
52	Customer#000000052	46220.9400	5630.28	IRAQ	7 QOqGqqSy9jfV51BC71jcHJSD0	21-186-284-5998	ic platelets use evenly even accounts. stealthy theodolites cajole furiou
116	Customer#000000116	46116.5200	8403.99	MOZAMBIQUE	yCuVxIgsZ3,qyK2rloThy3u	26-632-309-5792	as. quickly final sauternes haggle slyly carefully even packages. brave, ironic pinto beans are above the furious
97	Customer#000000097	45063.6480	2164.48	PERU	OApyejbhJG,0Iw3j rd1M	27-588-919-5638	haggle slyly. bold, special ideas are blithely above the thinly bold theo
56	Customer#000000056	41169.6120	6530.86	IRAN	BJYZYJQk4yD5B	20-895-685-6920	. notornis wake carefully. carefully fluffy requests are furiously even accounts. slyly expre
31	Customer#000000031	40442.2524	5236.89	UNITED KINGDOM	LUACbO0viaAv6eXOAebryDB xjVst	33-197-837-7094	s use among the blithely pending depo
109	Customer#000000109	38469.9242	-716.10	MOZAMBIQUE	OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c	26-992-422-8153	es. fluffily final dependencies sleep along the blithely even pinto beans. final deposits haggle furiously furiou
67	Customer#000000067	34848.6593	8166.59	INDONESIA	rfG0cOgtr5W8 xILkwp9fpCS8	19-403-114-4356	indle furiously final, even theodo
4	Customer#000000004	31830.1784	2866.83	EGYPT	XxVSJsLAGtn	14-128-190-5944	 requests. final, regular ideas sleep final accou
149	Customer#000000149	30070.9290	8959.65	ROMANIA	3byTHCp2mNLPigUrrq	29-797-439-6760	al instructions haggle against the slyly bold w
17	Customer#000000017	27916.7564	6.34	BRAZIL	izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7	12-970-682-3487	packages wake! blithely even pint
83	Customer#000000083	25887.6152	6463.51	RUSSIA	HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf	32-817-154-4122	ccording to the quickly bold warhorses. final, regular foxes integrate carefully. bold packages nag blithely ev
86	Customer#000000086	24827.0646	3306.32	ALGERIA	US6EGGHXbTTXPL9SBsxQJsuvy	10-677-951-2353	quests. pending dugouts are carefully aroun
142	Customer#000000142	21215.7990	2209.81	INDONESIA	AnJ5lxtLjioClr2khl9pb8NLxG2,	19-407-425-2584	. even, express theodolites upo
85	Customer#000000085	16365.4053	3386.64	ETHIOPIA	siRerlDwiolhYR 8FgksoezycLj	15-745-585-8219	ronic ideas use above the slowly pendin
22	Customer#000000022	12870.9355	591.98	CANADA	QI6p41,FNs5k7RZoCCVPUTkUdYpB	13-806-545-9701	s nod furiously above the furiously ironic ideas. 
61	Customer#000000061	12291.8348	1536.24	PERU	9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE	27-626-559-8599	egular packages shall have to impress along the 
2	Customer#000000002	11676.2664	121.65	JORDAN	XSTf4,NCwDVaWNe6tEgvwfmRchLXak	23-768-687-3665	l accounts. blithely ironic theodolites integrate boldly: caref
91	Customer#000000091	7995.9728	4643.14	INDIA	S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q	18-239-400-3677	onic accounts. fluffily silent pinto beans boost blithely according to the fluffily exp
94	Customer#000000094	7136.1969	5500.11	INDONESIA	IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf	19-953-499-8833	latelets across the bold, final requests sleep according to the fluffily bold accounts. unusual deposits amon
